start_time,end_time,text,emotion,sub_emotion,intensity,emotion_encoded,sub_emotion_encoded,intensity_encoded
"00:00:15,000","00:00:16,000",Did you kiss?,happiness,curiosity,moderate,3,8,1
"00:00:17,000","00:00:18,000",Yeah.,neutral,neutral,mild,4,22,0
"00:00:18,000","00:00:19,000",But no !,anger,annoyance,mild,0,3,0
"00:00:19,000","00:00:20,000",Why do you have a problem?,surprise,confusion,mild,6,7,0
"00:00:20,000","00:00:22,000",Did you kiss?,happiness,curiosity,moderate,3,8,1
"00:00:22,000","00:00:23,000",Yeah.,neutral,neutral,mild,4,22,0
"00:00:23,000","00:00:25,000","So, you wanted a girl like that?",happiness,curiosity,mild,3,8,0
"00:00:25,000","00:00:26,000","What is there, actually?",happiness,curiosity,mild,3,8,0
"00:00:26,000","00:00:28,000",What is the problem?,surprise,confusion,mild,6,7,0
"00:00:28,000","00:00:29,000",It's going fast.,neutral,neutral,mild,4,22,0
"00:00:29,000","00:00:30,000",It goes very quickly.,neutral,neutral,mild,4,22,0
"00:00:30,000","00:00:32,000",This is the 3rd time that I have seen it.,neutral,neutral,mild,4,22,0
"00:00:32,000","00:00:33,000",We got very wrong.,sadness,disappointment,moderate,5,10,1
"00:00:33,000","00:00:35,000","You saw it 3 times, an hour.",neutral,neutral,mild,4,22,0
"00:00:35,000","00:00:37,000","Si t'as le feeling, t'as le feeling.",neutral,neutral,mild,4,22,0
"00:00:37,000","00:00:38,000",We had the 5th!,happiness,excitement,moderate,3,14,1
"00:00:39,000","00:00:40,000",I am shocked.,surprise,surprise,strong,6,29,2
"00:00:41,000","00:00:42,000",I am shocked.,surprise,surprise,strong,6,29,2
"00:00:42,000","00:00:45,000","Yesterday, you told me that in big, limit ...",neutral,neutral,mild,4,22,0
"00:00:45,000","00:00:47,000","I tell you in my own way, I am from the south,",neutral,neutral,mild,4,22,0
"00:00:47,000","00:00:48,000",I am very ...,neutral,neutral,mild,4,22,0
"00:00:48,000","00:00:50,000",That she eats to all the racks,neutral,neutral,mild,4,22,0
"00:00:50,000","00:00:52,000",And you didn't like it.,disgust,disapproval,mild,1,11,0
"00:00:52,000","00:00:53,000",I didn't say that.,anger,annoyance,mild,0,3,0
"00:00:53,000","00:00:55,000",This is what I just told you.,anger,annoyance,mild,0,3,0
"00:00:55,000","00:00:56,000",I speak in my own way.,happiness,pride,mild,3,24,0
"00:00:56,000","00:00:58,000","At that time, I tell him",neutral,neutral,mild,4,22,0
"00:00:58,000","00:01:00,000",Do not remix people's words.,disgust,disapproval,moderate,1,11,1
"00:01:00,000","00:01:01,000",He didn't say that.,surprise,confusion,mild,6,7,0
"00:01:01,000","00:01:04,000","If we can both be, we are both.",neutral,neutral,mild,4,22,0
"00:01:04,000","00:01:05,000",She has known him since yesterday.,neutral,neutral,mild,4,22,0
"00:01:06,000","00:01:08,000",At what time you allow yourself to tell someone,happiness,curiosity,mild,3,8,0
"00:01:08,000","00:01:09,000",What should he do?,happiness,curiosity,mild,3,8,0
"00:01:09,000","00:01:11,000",It's a crazy thing.,surprise,surprise,moderate,6,29,1
"00:01:11,000","00:01:12,000","Yes, it had pissed me off.",anger,anger,moderate,0,2,1
"00:01:12,000","00:01:14,000",I spoke with Manon.,neutral,neutral,mild,4,22,0
