text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,happiness,excitement,excitement,strong,moderate,True,True,False,False
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,happiness,happiness,optimism,excitement,moderate,moderate,True,False,True,False
But only the standout modeling talent were chosen as our final 14,happiness,happiness,pride,pride,moderate,mild,True,True,False,False
Prepare for an adventure of a lifetime,happiness,happiness,excitement,excitement,strong,moderate,True,True,False,False
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,optimism,moderate,moderate,True,False,True,False
With twists and turns at every corner. This is a crazy competition,happiness,happiness,excitement,excitement,strong,moderate,True,True,False,False
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
I don't want to trust anyone with some of the top names in the industry,fear,fear,nervousness,nervousness,moderate,moderate,True,True,True,True
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,happiness,happiness,amusement,disapproval,moderate,moderate,True,False,True,False
We'll kill it on the international stage. The challenges are tough,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
"Okay, I got my work cut out for me now",happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
Let the games begin,happiness,happiness,excitement,excitement,strong,moderate,True,True,False,False
And I'm from Malaysia I,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Would say that I'm a model with brains. I am putting my degree in whole,happiness,happiness,pride,pride,moderate,moderate,True,True,True,True
It's now or never and by one last shot before I jump back into the world of academia,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
"Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Indonesia, of course, obviously, we're twins",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Double power,happiness,happiness,excitement,excitement,moderate,mild,True,True,False,False
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,happiness,pride,pride,mild,moderate,True,True,False,False
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
I,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Really love fashion. So I started my fashion blog. I have,happiness,happiness,pride,pride,moderate,moderate,True,True,True,True
"70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",happiness,happiness,pride,amusement,moderate,moderate,True,False,True,False
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
My,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I just have this face. I'll just tell it,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"When I go to primary school, I get bullied",sadness,anger,sadness,annoyance,moderate,moderate,False,False,True,False
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,happiness,happiness,optimism,desire,strong,moderate,True,False,False,False
Welcome ladies,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,happiness,happiness,pride,pride,moderate,mild,True,True,False,False
I've worked for many global ad campaigns and worked alongside,happiness,happiness,pride,pride,moderate,moderate,True,True,True,True
Supermodels like Cindy Crawford and Naomi Campbell,happiness,happiness,admiration,admiration,moderate,mild,True,True,False,False
Wow Cara is so beautiful. She's tall and she's so poised,happiness,happiness,admiration,admiration,strong,moderate,True,True,False,False
Without first bringing out your amazing host,happiness,happiness,admiration,admiration,mild,moderate,True,True,False,False
the gorgeous,happiness,happiness,admiration,admiration,moderate,mild,True,True,False,False
your superstar,happiness,happiness,admiration,admiration,moderate,mild,True,True,False,False
confidant the ever so graceful,happiness,happiness,admiration,admiration,moderate,mild,True,True,False,False
Cindy Bishop,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"It's Cindy she just walked across I was like, whoa",surprise,surprise,surprise,surprise,strong,mild,True,True,False,False
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",happiness,happiness,admiration,joy,moderate,mild,True,False,False,False
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,happiness,happiness,excitement,excitement,strong,moderate,True,True,False,False
It's all about celebrating,happiness,happiness,joy,excitement,moderate,moderate,True,False,True,False
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,happiness,happiness,admiration,admiration,moderate,moderate,True,True,True,True
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,happiness,happiness,desire,optimism,moderate,moderate,True,False,True,False
