start_time,end_time,text,emotion,sub-emotion,intensity
"00:00:00,000","00:00:04,000","Then listen, I would like to thank you very much. We have a great time. See you.",happiness,gratitude,mild
"00:00:07,000","00:00:08,000",I'm going to the basement!,happiness,excitement,moderate
"00:00:08,000","00:00:10,000","I'm going to the basement, I'm going to the basement!",happiness,excitement,intense
"00:00:10,000","00:00:16,000","Man, I will complement it honestly, I think it was a bit stupid decision to throw him out on the first day,",disgust,disapproval,moderate
"00:00:16,000","00:00:21,000","Because Karol mega sowed, you know, grain, such uncertainty, but I think he trolled.",surprise,confusion,mild
"00:00:21,000","00:00:25,000","Since Karol was eliminated, we have Posti and Kasia!",neutral,neutral,neutral
"00:00:25,000","00:00:26,000",Exactly.,neutral,neutral,neutral
"00:00:26,000","00:00:30,000",There were four people in the packet who were read by MPZ.,neutral,neutral,neutral
"00:00:30,000","00:00:35,000","The pact was splendor, but how can I do it if I'm not in the mafia?",surprise,confusion,moderate
"00:00:35,000","00:00:38,000","Hey, okay, let's arrange, okay? That we do not throw away our four.",happiness,optimism,mild
"00:00:38,000","00:00:40,000","Well, let's get someone there, remember?",happiness,curiosity,mild
"00:00:40,000","00:00:45,000",I will tell you how from my perspective it looked that I said what people they were suspicious,happiness,curiosity,moderate
"00:00:45,000","00:00:47,000","And that one of those is suspicious, or Kasia.",surprise,confusion,mild
"00:00:47,000","00:00:48,000","Well, these three, well, no.",neutral,neutral,neutral
"00:00:48,000","00:00:54,000","Then we went to the interview and agreed that today nobody from here, of the four, falls off,",happiness,optimism,mild
"00:00:54,000","00:00:56,000","And one person from the four, or Friz fell off.",surprise,surprise,moderate
"00:00:56,000","00:00:57,000",To ch ** o.,anger,anger,intense
"00:00:57,000","00:01:01,000","This shows that he is a citizen in total, he was 100% too.",surprise,realization,mild
"00:01:01,000","00:01:04,000","Listen, unfortunately, they didn't keep their word, no.",sadness,disappointment,moderate
"00:01:04,000","00:01:06,000",Posti did not keep his word.,sadness,disappointment,moderate
"00:01:06,000","00:01:08,000","That's how it came out, Karol.",neutral,neutral,neutral
"00:01:08,000","00:01:11,000","I know you are probably very much, irritated as you watch",anger,annoyance,moderate
"00:01:11,000","00:01:14,000","because I saw how much you had a powerful teaser playing with us,",happiness,admiration,mild
"00:01:14,000","00:01:19,000","But what, you talked too much, try next time.",disgust,disapproval,mild
"00:01:20,000","00:01:23,000",I wasn't a good choice at all because people didn't trust me,sadness,remorse,moderate
"00:01:23,000","00:01:25,000","And I was also in these three, so ...",neutral,neutral,neutral
"00:01:25,000","00:01:27,000","In my opinion, a very strange decision.",surprise,confusion,moderate
"00:01:27,000","00:01:31,000","Friz got into postrola, so if Postirol was from the mafia,",happiness,curiosity,mild
"00:01:31,000","00:01:35,000","It didn't make sense to throw friza, because after this decision that Friz was falling off,",surprise,confusion,moderate
"00:01:35,000","00:01:38,000","Three or four people said, okay, this postirol is from the mafia.",happiness,curiosity,mild
"00:01:38,000","00:01:42,000","I wanted to fill the fact, but it was hard, just because I'm not a mafia, so like ...",neutral,neutral,neutral
"00:01:42,000","00:01:44,000","Oh, was it hard to convince?",happiness,curiosity,mild
"00:01:44,000","00:01:46,000","Yes, it was adamant in general.",anger,annoyance,moderate
"00:01:46,000","00:01:50,000","If the mafia noticed that there is tension between Friz and Postirol,",happiness,curiosity,moderate
"00:01:50,000","00:01:54,000","This elimination of Friza gives them that the inhabitants will throw a postirola tomorrow,",surprise,confusion,moderate
"00:01:54,000","00:01:56,000",So for me postirol is clean and it makes sense.,surprise,realization,mild
"00:01:56,000","00:02:01,000",It would make sense that he would be so pissed at Karol that he just wanted to get rid of him.,anger,anger,moderate
"00:02:01,000","00:02:07,000",I was surprised that Friz had a cartridge because I was sure that since I stayed,surprise,surprise,moderate
"00:02:07,000","00:02:10,000","Or Julita or Żabca, one of us will fall off sooner.",neutral,neutral,neutral
"00:02:10,000","00:02:18,000","About the mafia's decision, I think she was a bit stupid and that she was probably done a little angry,",disgust,disapproval,moderate
"00:02:18,000","00:02:22,000",So it confirms to me that there may be posti in the mafia.,surprise,realization,moderate
"00:02:22,000","00:02:24,000",But you will suspect me anyway.,neutral,neutral,neutral
"00:02:24,000","00:02:28,000","Who would have faded Friz, if not a homie, who was oppressed all day by him?",happiness,curiosity,moderate
"00:02:28,000","00:02:30,000",I think it poses!,surprise,realization,mild
"00:02:30,000","00:02:32,000",Or a totally used for this Styrolowiec.,neutral,neutral,neutral
"00:02:32,000","00:02:34,000",I think it poses because I was oppressed.,surprise,realization,mild
