text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,happiness,happiness,optimism,admiration,moderate,mild,True,False,False,False
But only the standout modeling talent were chosen as our final 14,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Prepare for an adventure of a lifetime,happiness,happiness,excitement,admiration,strong,mild,True,False,False,False
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,neutral,moderate,moderate,True,False,True,False
With twists and turns at every corner. This is a crazy competition,happiness,surprise,excitement,surprise,strong,moderate,False,False,False,False
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",happiness,disgust,optimism,disapproval,strong,moderate,False,False,False,False
I don't want to trust anyone with some of the top names in the industry,fear,sadness,nervousness,disapproval,moderate,moderate,False,False,True,False
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,happiness,disgust,amusement,disapproval,moderate,moderate,False,False,True,False
We'll kill it on the international stage. The challenges are tough,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
"Okay, I got my work cut out for me now",happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
Let the games begin,happiness,happiness,excitement,neutral,strong,mild,True,False,False,False
And I'm from Malaysia I,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Would say that I'm a model with brains. I am putting my degree in whole,happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
It's now or never and by one last shot before I jump back into the world of academia,happiness,happiness,optimism,neutral,strong,mild,True,False,False,False
"Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Indonesia, of course, obviously, we're twins",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Double power,happiness,happiness,excitement,admiration,moderate,mild,True,False,False,False
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,sadness,pride,disapproval,mild,moderate,False,False,False,False
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",happiness,happiness,optimism,neutral,strong,moderate,True,False,False,False
I,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
